Index,Query(한글),LLM Output,Functions
6DOQYF,바로 그룹학습실 공기청정 작동해주세요,"<function_FF>(position=""그룹학습실"")<end>",['function_FF']
6FTWGU,좌식 바로 청정해보실래요,"<function_FF>(position=""좌식"")<end>",['function_FF']
6GBIMS,고정 공청 기능 켜줘 또 홍보실으로 가서 청정해 줘,<function_PG>();<function_FF>(position=홍보실)<end>,"['function_PG', 'function_FF']"
6GMOQA,유아부실 공기청정 동작 시작해주세요,"<function_FF>(position=""유아부실"")<end>",['function_FF']
6GTYZJ,아기의방에서 공기청정 진행해주세요,"<function_FF>(position=""아기의방"")<end>",['function_FF']
6HACDL,스터디룸B에서 공기청정 진행해보시죠,"<function_FF>(position=""스터디룸B"")<end>",['function_FF']
6IDMYV,선택 공간 청정 시작해볼까,<function_FF>(position=-1)<end>,['function_FF']
6JJKVO,햄스터방에서 청정 좀 해줄래요,"<function_FF>(position=""햄스터방"")<end>",['function_FF']
6SLPFI,출구옆자리 청정 실행해줄 수 있을까,"<function_FF>(position=""출구옆자리"")<end>",['function_FF']
6XSASQ,선택 공간 공기청정 시작해줘,<function_FF>(position=-1)<end>,['function_FF']
6ZBCTT,나비반 청정 가동해,"<function_FF>(position=""나비반"")<end>",['function_FF']
6ZYDUK,폐수처리실에서 즉시 공기청정해주세요,"<function_FF>(position=""폐수처리실"")<end>",['function_FF']
7FCBUG,민수네방에서 청정해주세요,"<function_FF>(position=""민수네방"")<end>",['function_FF']
7HAGOR,입시반에서 청정 시스템 실행해줘,"<function_FF>(position=""입시반"")<end>",['function_FF']
7IEVPG,학습방에서 공기청정 해주세요,"<function_FF>(position=""학습방"")<end>",['function_FF']
7IGREX,아이방에서 공기청정 모드 켜주세요,"<function_FF>(position=""아이방"")<end>",['function_FF']
7JXCHZ,더부티크관에서 공기청정 해봐,"<function_FF>(position=""더부티크관"")<end>",['function_FF']
7NIFIW,2층홀에서 즉시 청정 시스템 작동해주실래요,"<function_FF>(position=""2층홀"")<end>",['function_FF']
7NWYCE,지영이방에서 청정해주실 수 있나요,"<function_FF>(position=""지영이방"")<end>",['function_FF']
7OXNIL,마법방에서 지금 청정 바로 해주실래요,"<function_FF>(position=""마법방"")<end>",['function_FF']
7PQFCS,릴랙스존 청정해줄거니,"<function_FF>(position=""릴랙스존"")<end>",['function_FF']
7QGLZD,관제실 청정 지금 가동해,"<function_FF>(position=""관제실"")<end>",['function_FF']
7RCFIA,우리왕자방에서 청정 시작해보실래요,"<function_FF>(position=""우리왕자방"")<end>",['function_FF']
7TZDSB,가든 공기청정 기능 실행해줄래요,"<function_FF>(position=""가든"")<end>",['function_FF']
7UZJLL,아이디어실에서 공기청정 기능 시작해줄래요,"<function_FF>(position=""아이디어실"")<end>",['function_FF']
7VZSSP,B구역에서 공기청정해줄 수 있나요,"<function_FF>(position=""B구역"")<end>",['function_FF']
7WYPED,테이크아웃존 청정해줘,"<function_FF>(position=""테이크아웃존"")<end>",['function_FF']
7XYIYS,원어민실 공기청정 켜죠,"<function_FF>(position=""원어민실"")<end>",['function_FF']
8BLYMB,2번동 청정 모드 켜주세요,"<function_FF>(position=""2번동"")<end>",['function_FF']
8EARMB,부설연구소으로 이동해서 청정해줘 그리고 내일 뭐할 계획이야,<function_FF>(position=부설연구소);<function_MR>()<end>,"['function_FF', 'function_MR']"
8ENCHA,행복룸 청정 활성화해줘,"<function_FF>(position=""행복룸"")<end>",['function_FF']
8FJYWC,노인돌봄실 청정해줄 수 있을까요,"<function_FF>(position=""노인돌봄실"")<end>",['function_FF']
8GILUY,마이크로필름실 청정 진행 시작해,"<function_FF>(position=""마이크로필름실"")<end>",['function_FF']
8GKDKQ,벙커침대존 청정 실행해보실 수 있나요,"<function_FF>(position=""벙커침대존"")<end>",['function_FF']
8HJZLI,신간코너에서 청정 모드 진행해줘,"<function_FF>(position=""신간코너"")<end>",['function_FF']
8HTIIG,봉제실에서 공기청정 작동해보실래요,"<function_FF>(position=""봉제실"")<end>",['function_FF']
8LJNLC,이 방의 공기를 청소해 줄래?,<function_FF>(position=-1)<end>,['function_FF']
8LPCUY,다목적방 공기청정 지금 진행해줘,"<function_FF>(position=""다목적방"")<end>",['function_FF']
8MLPXL,예약존 공기청정해줘요,"<function_FF>(position=""예약존"")<end>",['function_FF']
8NCJDB,여기 공기 좀 깨끗하게 해줄래?,<function_FF>(position=-1)<end>,['function_FF']
8POKRN,고정 공청 기능 켜줘 이어서 부설연구소 공기 청정이 필요해,<function_PG>();<function_FF>(position=부설연구소)<end>,"['function_PG', 'function_FF']"
8PYZTE,바로 원숭이반 청정 기능 해봐요,"<function_FF>(position=""원숭이반"")<end>",['function_FF']
8ZLECB,연속간행물실에서 청정 시작해줄래요,"<function_FF>(position=""연속간행물실"")<end>",['function_FF']
9DAMGQ,커뮤니티구역에서 청정 기능 진행해줄래요,"<function_FF>(position=""커뮤니티구역"")<end>",['function_FF']
9DFUBD,창가자리 즉시 청정해보실래요,"<function_FF>(position=""창가자리"")<end>",['function_FF']
9FETSN,스피닝룸에서 청정 즉시해주시겠어요,"<function_FF>(position=""스피닝룸"")<end>",['function_FF']
9HLACY,디럭스룸에서 청정 작동시켜보세요,"<function_FF>(position=""디럭스룸"")<end>",['function_FF']
9JUVEB,소모품실 청정 좀 해줄래,"<function_FF>(position=""소모품실"")<end>",['function_FF']
9PAIQN,로우테이블에서 공기청정해주면 좋겠어,"<function_FF>(position=""로우테이블"")<end>",['function_FF']
9QBIIO,체육방 바로 청정해줘,"<function_FF>(position=""체육방"")<end>",['function_FF']
9RILZR,스테이션 위치로 복귀하세요 그리고 옆방 공기 청정이 필요해,<function_KI>();<function_FF>(position=옆방)<end>,"['function_KI', 'function_FF']"
9RWOBR,본관에서 청정 기능 가동해봐,"<function_FF>(position=""본관"")<end>",['function_FF']
9SPUEO,6인석에서 공기청정 시작해줘,"<function_FF>(position=""6인석"")<end>",['function_FF']
9UMXHQ,삼촌방에서 공기청정 기능 시작해줘,"<function_FF>(position=""삼촌방"")<end>",['function_FF']
